Ticker,Name,Industry,Dividend Yield,Dividend Safety
AOS,A. O. Smith,Building Products,1.67%,Very Safe
APD,Air Products and Chemicals,Industrial Gases,2.67%,Very Safe
ATO,Atmos Energy,Gas Utilities,2.83%,Very Safe
ATR,AptarGroup,"Metal, Glass and Plastic Containers",1.29%,Very Safe
ATRI,Atrion Corporation,Health Care Supplies,2.83%,Safe
AVGO,Broadcom,Semiconductors,2.00%,Safe
BK,Bank of New York Mellon,Asset Management and Custody Banks,3.47%,Borderline Safe
AVY,Avery Dennison Corporation,Paper and Plastic Packaging Products and Materials,1.68%,Safe
AWK,American Water Works,Water Utilities,2.15%,Safe
CMS,CMS Energy,Multi-Utilities,3.40%,Borderline Safe
AWR,American States Water,Water Utilities,2.09%,Very Safe
BANF,BancFirst,Regional Banks,1.91%,Very Safe
WABC,Westamerica Bancorporation,Regional Banks,3.28%,
BBY,Best Buy,Computer and Electronics Retail,4.94%,Safe
BCPC,Balchem Corporation,Specialty Chemicals,0.55%,Very Safe
BDX,"Becton, Dickinson and Company",Health Care Equipment,1.63%,Very Safe
